,time,lat,lon,mslp,vmax
0,2024-06-30 06:00:00,10.5,-52.2,980.0,44.73684210526316
1,2024-06-30 12:00:00,10.6,-54.0,968.0,55.26315789473684
2,2024-06-30 18:00:00,10.9,-55.7,960.0,60.526315789473685
3,2024-07-01 00:00:00,11.2,-57.3,959.0,57.89473684210527
4,2024-07-01 06:00:00,11.5,-59.0,965.0,55.26315789473684
5,2024-07-01 12:00:00,12.0,-60.5,957.0,60.526315789473685
6,2024-07-01 18:00:00,12.8,-62.3,946.0,68.42105263157895
7,2024-07-02 00:00:00,13.4,-64.0,938.0,73.6842105263158
8,2024-07-02 06:00:00,14.2,-65.9,935.0,76.31578947368422
9,2024-07-02 12:00:00,15.0,-67.9,934.0,76.31578947368422
10,2024-07-02 18:00:00,15.6,-69.9,943.0,71.05263157894737
11,2024-07-03 00:00:00,16.1,-71.8,947.0,68.42105263157895
12,2024-07-03 06:00:00,16.3,-73.5,946.0,65.78947368421053
13,2024-07-03 12:00:00,16.8,-75.3,952.0,65.78947368421053
14,2024-07-03 18:00:00,17.2,-76.8,959.0,63.15789473684211
15,2024-07-04 00:00:00,17.8,-78.3,960.0,60.526315789473685
16,2024-07-04 06:00:00,18.3,-80.1,965.0,57.89473684210527
17,2024-07-04 12:00:00,18.8,-81.8,969.0,52.631578947368425
18,2024-07-04 18:00:00,19.3,-83.5,974.0,50.0
19,2024-07-05 00:00:00,19.4,-84.8,962.0,52.631578947368425
